1.000000e+06 -9.716530e-03 
1.023293e+06 -9.894621e-03 
1.047129e+06 -1.008110e-02 
1.071519e+06 -1.027635e-02 
1.096478e+06 -1.048080e-02 
1.122018e+06 -1.069488e-02 
1.148154e+06 -1.091903e-02 
1.174898e+06 -1.115374e-02 
1.202264e+06 -1.139949e-02 
1.230269e+06 -1.165681e-02 
1.258925e+06 -1.192623e-02 
1.288250e+06 -1.220834e-02 
1.318257e+06 -1.250373e-02 
1.348963e+06 -1.281301e-02 
1.380384e+06 -1.313685e-02 
1.412538e+06 -1.347592e-02 
1.445440e+06 -1.383095e-02 
1.479108e+06 -1.420267e-02 
1.513561e+06 -1.459188e-02 
1.548817e+06 -1.499940e-02 
1.584893e+06 -1.542608e-02 
1.621810e+06 -1.587282e-02 
1.659587e+06 -1.634057e-02 
1.698244e+06 -1.683031e-02 
1.737801e+06 -1.734307e-02 
1.778279e+06 -1.787993e-02 
1.819701e+06 -1.844203e-02 
1.862087e+06 -1.903053e-02 
1.905461e+06 -1.964669e-02 
1.949845e+06 -2.029179e-02 
1.995262e+06 -2.096719e-02 
2.041738e+06 -2.167430e-02 
2.089296e+06 -2.241462e-02 
2.137962e+06 -2.318970e-02 
2.187762e+06 -2.400115e-02 
2.238721e+06 -2.485069e-02 
2.290868e+06 -2.574008e-02 
2.344229e+06 -2.667120e-02 
2.398833e+06 -2.764598e-02 
2.454709e+06 -2.866647e-02 
2.511886e+06 -2.973480e-02 
2.570396e+06 -3.085319e-02 
2.630268e+06 -3.202398e-02 
2.691535e+06 -3.324961e-02 
2.754229e+06 -3.453264e-02 
2.818383e+06 -3.587572e-02 
2.884032e+06 -3.728166e-02 
2.951209e+06 -3.875337e-02 
3.019952e+06 -4.029390e-02 
3.090295e+06 -4.190646e-02 
3.162278e+06 -4.359436e-02 
3.235937e+06 -4.536112e-02 
3.311311e+06 -4.721037e-02 
3.388442e+06 -4.914592e-02 
3.467369e+06 -5.117178e-02 
3.548134e+06 -5.329209e-02 
3.630781e+06 -5.551123e-02 
3.715352e+06 -5.783373e-02 
3.801894e+06 -6.026436e-02 
3.890451e+06 -6.280809e-02 
3.981072e+06 -6.547010e-02 
4.073803e+06 -6.825582e-02 
4.168694e+06 -7.117091e-02 
4.265795e+06 -7.422129e-02 
4.365158e+06 -7.741314e-02 
4.466836e+06 -8.075290e-02 
4.570882e+06 -8.424731e-02 
4.677351e+06 -8.790340e-02 
4.786301e+06 -9.172849e-02 
4.897788e+06 -9.573025e-02 
5.011872e+06 -9.991666e-02 
5.128614e+06 -1.042960e-01 
5.248075e+06 -1.088771e-01 
5.370318e+06 -1.136689e-01 
5.495409e+06 -1.186808e-01 
5.623413e+06 -1.239228e-01 
5.754399e+06 -1.294050e-01 
5.888437e+06 -1.351382e-01 
6.025596e+06 -1.411335e-01 
6.165950e+06 -1.474025e-01 
6.309573e+06 -1.539572e-01 
6.456542e+06 -1.608103e-01 
6.606934e+06 -1.679748e-01 
6.760830e+06 -1.754643e-01 
6.918310e+06 -1.832929e-01 
7.079458e+06 -1.914754e-01 
7.244360e+06 -2.000270e-01 
7.413102e+06 -2.089636e-01 
7.585776e+06 -2.183018e-01 
7.762471e+06 -2.280585e-01 
7.943282e+06 -2.382517e-01 
8.128305e+06 -2.488996e-01 
8.317638e+06 -2.600215e-01 
8.511380e+06 -2.716371e-01 
8.709636e+06 -2.837669e-01 
8.912509e+06 -2.964321e-01 
9.120108e+06 -3.096548e-01 
9.332543e+06 -3.234576e-01 
9.549926e+06 -3.378641e-01 
9.772372e+06 -3.528985e-01 
1.000000e+07 -3.685858e-01 
1.023293e+07 -3.849520e-01 
1.047129e+07 -4.020236e-01 
1.071519e+07 -4.198281e-01 
1.096478e+07 -4.383939e-01 
1.122018e+07 -4.577499e-01 
1.148154e+07 -4.779261e-01 
1.174898e+07 -4.989532e-01 
1.202264e+07 -5.208627e-01 
1.230269e+07 -5.436869e-01 
1.258925e+07 -5.674590e-01 
1.288250e+07 -5.922126e-01 
1.318257e+07 -6.179826e-01 
1.348963e+07 -6.448041e-01 
1.380384e+07 -6.727133e-01 
1.412538e+07 -7.017469e-01 
1.445440e+07 -7.319421e-01 
1.479108e+07 -7.633370e-01 
1.513561e+07 -7.959700e-01 
1.548817e+07 -8.298802e-01 
1.584893e+07 -8.651070e-01 
1.621810e+07 -9.016903e-01 
1.659587e+07 -9.396702e-01 
1.698244e+07 -9.790873e-01 
1.737801e+07 -1.019982e+00 
1.778279e+07 -1.062396e+00 
1.819701e+07 -1.106368e+00 
1.862087e+07 -1.151941e+00 
1.905461e+07 -1.199155e+00 
1.949845e+07 -1.248049e+00 
1.995262e+07 -1.298665e+00 
2.041738e+07 -1.351042e+00 
2.089296e+07 -1.405218e+00 
2.137962e+07 -1.461232e+00 
2.187762e+07 -1.519122e+00 
2.238721e+07 -1.578924e+00 
2.290868e+07 -1.640675e+00 
2.344229e+07 -1.704408e+00 
2.398833e+07 -1.770157e+00 
2.454709e+07 -1.837955e+00 
2.511886e+07 -1.907831e+00 
2.570396e+07 -1.979815e+00 
2.630268e+07 -2.053934e+00 
2.691535e+07 -2.130214e+00 
2.754229e+07 -2.208679e+00 
2.818383e+07 -2.289350e+00 
2.884032e+07 -2.372246e+00 
2.951209e+07 -2.457387e+00 
3.019952e+07 -2.544786e+00 
3.090295e+07 -2.634457e+00 
3.162278e+07 -2.726412e+00 
3.235937e+07 -2.820658e+00 
3.311311e+07 -2.917201e+00 
3.388442e+07 -3.016045e+00 
3.467369e+07 -3.117192e+00 
3.548134e+07 -3.220640e+00 
3.630781e+07 -3.326385e+00 
3.715352e+07 -3.434422e+00 
3.801894e+07 -3.544742e+00 
3.890451e+07 -3.657334e+00 
3.981072e+07 -3.772185e+00 
4.073803e+07 -3.889280e+00 
4.168694e+07 -4.008601e+00 
4.265795e+07 -4.130128e+00 
4.365158e+07 -4.253840e+00 
4.466836e+07 -4.379712e+00 
4.570882e+07 -4.507720e+00 
4.677351e+07 -4.637836e+00 
4.786301e+07 -4.770031e+00 
4.897788e+07 -4.904273e+00 
5.011872e+07 -5.040533e+00 
5.128614e+07 -5.178775e+00 
5.248075e+07 -5.318965e+00 
5.370318e+07 -5.461068e+00 
5.495409e+07 -5.605046e+00 
5.623413e+07 -5.750863e+00 
5.754399e+07 -5.898480e+00 
